IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
IC 3212,G,12:22:03.40 +28:11:09.6,Coma Berenices,0.71 0.65,110,,23.47,Sc,,
IC 3213,G,12:22:07.67 +23:52:10.6,Coma Berenices,0.49 0.28,175,,,E-S0,,
IC 3214,*,12:22:09.11 +27:14:06.3,Coma Berenices, ,,,,,,
IC 3215,G,12:22:10.38 +26:03:07.0,Coma Berenices,1.27 0.35,93,,23.76,Sd,,
IC 3216,G,12:22:11.81 +25:17:12.1,Coma Berenices,0.52 0.40,104,,23.68,SBab,,
IC 3217,G,12:22:13.07 +26:23:16.9,Coma Berenices,0.41 0.23,40,,23.86,Scd,,
IC 3218,G,12:22:19.52 +06:55:40.5,Virgo,0.64 0.56,74,,23.57,E,,
IC 3219,G,12:22:15.03 +25:57:04.8,Coma Berenices,0.84 0.25,5,,23.84,Sc,,
IC 3220,G,12:22:21.59 +10:36:07.1,Virgo,1.05 0.48,4,,24.85,E,,
IC 3221,G,12:22:20.15 +25:17:01.6,Coma Berenices,0.57 0.27,128,,24.09,Sbc,,
IC 3222,G,12:22:19.47 +28:49:53.7,Coma Berenices,0.59 0.36,16,15.1,23.12,Sc,,
IC 3223,Other,12:22:30.61 +09:29:14.1,Virgo, ,,,,,,
IC 3224,G,12:22:35.91 +12:09:28.9,Virgo,0.38 0.31,51,,22.74,I,,
IC 3225,G,12:22:38.99 +06:40:37.4,Virgo,0.91 0.40,34,,22.21,Sd,,
IC 3226,*,12:22:34.95 +26:04:02.4,Coma Berenices, ,,,,,,
IC 3227,G,12:22:35.66 +24:05:06.5,Coma Berenices,0.46 0.22,169,,23.55,S0,,
IC 3228,G,12:22:39.38 +24:19:48.3,Coma Berenices,1.11 0.25,141,,24.05,Sc,,
IC 3229,G,12:22:52.80 +06:40:47.5,Virgo,1.23 0.41,43,,23.59,SBbc,,
IC 3230,G,12:22:39.68 +27:44:49.1,Coma Berenices,0.44 0.32,101,,23.16,Sc,,
IC 3231,G,12:22:43.78 +24:49:13.7,Coma Berenices,0.65 0.47,0,,,Sc,,
IC 3232,*,12:22:47.79 +24:25:28.3,Coma Berenices, ,,,,,,
IC 3233,G,12:22:54.89 +12:34:00.4,Virgo,0.69 0.34,90,,23.99,S?,,
IC 3234,G,12:22:52.16 +28:06:45.1,Coma Berenices,0.42 0.38,82,,23.73,Sa,,
IC 3235,G,12:22:57.90 +13:32:44.8,Coma Berenices,0.62 0.33,146,,23.83,Sc,,
IC 3236,G,12:23:00.23 +10:06:04.4,Virgo,0.42 0.23,132,,23.06,Sc,,
IC 3237,G,12:22:58.01 +28:29:39.0,Coma Berenices,0.47 0.32,67,,23.11,Sbc,,
IC 3238,G,12:23:06.38 +14:27:30.0,Coma Berenices,0.67 0.47,11,,22.54,S0,,
IC 3239,G,12:23:09.57 +11:43:33.6,Virgo,0.78 0.30,147,,23.52,Scd,,
IC 3240,G,12:23:07.32 +10:21:44.2,Virgo,0.46 0.31,77,,23.32,Sbc,,
IC 3241,G,12:23:08.44 +26:54:19.0,Coma Berenices,0.67 0.49,17,,24.32,E,,
IC 3242,G,12:23:10.44 +26:14:56.0,Coma Berenices,0.63 0.38,158,,23.85,Sb,,
IC 3243,G,12:23:11.33 +27:45:56.5,Coma Berenices,0.75 0.36,62,,23.33,Sbc,,
IC 3244,G,12:23:12.26 +14:23:20.3,Coma Berenices,0.77 0.61,80,,22.97,Sc,,
IC 3245,Other,12:23:17.71 +09:07:46.4,Virgo, ,,,,,,
IC 3246,G,12:23:17.15 +13:03:06.6,Virgo,0.54 0.48,43,,23.63,SBbc,,
IC 3247,G,12:23:13.99 +28:53:37.5,Coma Berenices,1.86 0.26,174,,24.38,Sc,,
IC 3248,*,12:23:16.88 +25:33:07.3,Coma Berenices, ,,,,,,
IC 3249,G,12:23:17.93 +25:26:40.8,Coma Berenices,0.37 0.21,13,,,E,,
IC 3250,*,12:23:17.82 +25:37:43.7,Coma Berenices, ,,,,,,
IC 3251,*,12:23:18.89 +25:39:12.2,Coma Berenices, ,,,,,,
IC 3252,**,12:23:24.92 +28:37:05.6,Coma Berenices, ,,,,,,
IC 3253,G,12:23:45.22 -34:37:19.9,Centaurus,3.02 1.20,24,12.12,22.99,Sc,,
IC 3254,Dup,12:23:29.83 +19:25:36.9,Coma Berenices, ,,,,,,
IC 3255,G,12:23:34.74 +09:38:55.0,Virgo,0.60 0.49,101,,22.25,SBbc,,
IC 3256,Dup,12:23:39.00 +07:03:14.4,Virgo, ,,,,,,
IC 3257,Other,12:23:44.71 +07:15:13.6,Virgo, ,,,,,,
IC 3258,G,12:23:44.47 +12:28:42.0,Virgo,1.35 1.09,88,13.3,22.98,IB,,
IC 3259,G,12:23:48.52 +07:11:12.6,Virgo,1.64 0.83,18,13.52,23.45,SABd,,
IC 3260,Dup,12:23:53.56 +07:06:25.6,Virgo, ,,,,,,
IC 3261,G,12:23:52.50 +11:28:52.7,Virgo,0.47 0.24,110,,23.91,SBab,,
IC 3262,G,12:23:48.17 +27:23:39.4,Coma Berenices,0.77 0.38,149,,23.06,SBab,,
IC 3263,G,12:23:50.59 +28:11:58.2,Coma Berenices,0.60 0.57,57,14.4,22.7,SBbc,,
IC 3264,G,12:23:51.95 +25:33:26.6,Coma Berenices,0.59 0.36,145,,24.39,E,,
IC 3265,*,12:23:58.83 +07:48:13.6,Virgo, ,,,,,,
IC 3266,Dup,12:24:00.26 +07:47:06.7,Virgo, ,,,,,,
IC 3267,G,12:24:05.53 +07:02:28.6,Virgo,1.21 1.17,30,13.42,23.25,Sc,,
IC 3268,G,12:24:07.44 +06:36:26.9,Virgo,1.00 0.80,12,,22.32,I,,
IC 3269,G,12:24:04.40 +27:26:05.2,Coma Berenices,0.75 0.43,167,,24.19,Sb,,
IC 3270,G,12:24:05.85 +27:34:40.4,Coma Berenices,0.61 0.52,128,,23.89,SBb,,
IC 3271,G,12:24:13.93 +07:57:10.7,Virgo,0.79 0.71,102,,22.81,SABc,,
IC 3272,G,12:24:09.31 +23:17:04.7,Coma Berenices,0.51 0.25,153,,23.45,Sbc,,
IC 3273,Dup,12:24:14.53 +08:32:09.1,Virgo, ,,,,,,
IC 3274,Dup,12:24:14.72 +09:16:00.7,Virgo, ,,,,,,
