IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
IC 1,**,00:08:27.05 +27:43:03.6,Pegasus, ,,,,,,
IC 2,G,00:11:00.88 -12:49:22.3,Cetus,0.98 0.32,142,,23.45,Sb,,
IC 3,G,00:12:06.09 -00:24:54.8,Pisces,0.93 0.67,53,,23.5,E,,
IC 4,G,00:13:26.94 +17:29:11.2,Pegasus,1.17 0.84,12,,23.01,Sc,,
IC 5,G,00:17:34.93 -09:32:36.1,Cetus,0.99 0.66,9,,23.4,E,,
IC 6,G,00:18:55.04 -03:16:33.9,Pisces,1.23 1.08,146,,23.89,E,,
IC 7,G,00:18:53.16 +10:35:40.9,Pisces,0.90 0.63,174,,23.22,S0,,
IC 8,G,00:19:02.72 -03:13:19.5,Pisces,0.82 0.34,129,,23.4,E?,,
IC 9,G,00:19:43.98 -14:07:18.8,Cetus,0.59 0.46,122,,22.88,Sa,,
IC 10,G,00:20:17.34 +59:18:13.6,Cassiopeia,6.76 6.03,129,10.35,24.53,IB,,
IC 11,Dup,00:52:59.35 +56:37:18.8,Cassiopeia, ,,,,,,
IC 12,G,00:20:15.05 -02:39:11.2,Pisces,0.96 0.32,20,,22.93,Sbc,,
IC 13,G,00:20:20.09 +07:42:01.8,Pisces,1.29 0.53,162,,23.53,Sbc,,
IC 14,**,00:22:31.29 +10:29:24.9,Pisces, ,,,,,,
IC 15,G,00:27:57.59 -00:03:40.6,Cetus,0.44 0.38,91,,22.85,SBb,,
IC 16,G,00:28:07.65 -13:05:38.1,Cetus,0.58 0.32,62,,23,S0-a,,
IC 17,G,00:28:29.78 +02:38:55.0,Cetus,0.67 0.54,102,,23.04,E?,,
IC 18,G,00:28:34.96 -11:35:12.1,Cetus,1.08 0.41,29,,23.62,Sb,,
IC 19,G,00:28:39.48 -11:38:26.8,Cetus,0.79 0.67,30,,23.52,E,,
IC 20,G,00:28:39.68 -13:00:37.1,Cetus,0.91 0.77,18,,23.41,S0,,
IC 21,G,00:29:10.43 -00:09:49.6,Cetus,0.49 0.45,6,,22.96,SBb,,
IC 22,G,00:29:33.17 -09:04:50.7,Cetus,0.81 0.44,45,,23.07,S0,,
IC 23,G,00:30:50.80 -12:43:12.9,Cetus,0.85 0.77,20,,23.52,E,,
IC 24,**,00:31:16.63 +30:50:21.5,Andromeda, ,,,,,,
IC 25,G,00:31:12.09 -00:24:26.5,Cetus,0.86 0.44,34,,23.68,S0-a,,
IC 26,Dup,00:31:45.94 -13:20:14.9,Cetus, ,,,,,,
IC 27,G,00:33:06.24 -13:22:17.4,Cetus,0.58 0.34,148,,23.37,,,
IC 28,G,00:33:08.72 -13:27:22.6,Cetus,0.30 0.22,85,,,E,,
IC 29,G,00:34:10.80 -02:10:39.5,Cetus,0.66 0.49,160,,23.75,E,,
IC 30,G,00:34:14.72 -02:05:04.5,Cetus,0.69 0.39,23,,23.71,S0-a,,
IC 31,G,00:34:24.63 +12:16:05.4,Pisces,1.16 0.23,90,,23.86,Sab,,
IC 32,G,00:35:01.69 -02:08:30.1,Cetus,0.62 0.39,1,,23.62,S0-a,,
IC 33,G,00:35:05.16 -02:08:15.7,Cetus,0.78 0.58,123,,23.6,,,
IC 34,G,00:35:36.42 +09:07:27.3,Pisces,2.81 1.05,156,,24.32,SBa,,
IC 35,G,00:37:39.88 +10:21:28.7,Pisces,0.90 0.74,18,,23.36,Sc,,
IC 36,G,00:37:49.65 -15:26:28.6,Cetus,0.31 0.30,60,,,,,
IC 37,G,00:38:34.18 -15:21:31.3,Cetus,0.67 0.38,158,,23.37,SBbc,,
IC 38,G,00:38:38.76 -15:25:11.4,Cetus,0.77 0.57,65,,22.93,Sc,,
IC 39,Dup,00:39:08.40 -14:10:22.2,Cetus, ,,,,,,
IC 40,G,00:39:21.40 +02:27:22.4,Cetus,1.05 0.43,14,,23.27,Sb,,
IC 41,G,00:39:40.37 -14:10:27.6,Cetus,0.71 0.45,162,,23.2,,,
IC 42,G,00:41:05.84 -15:25:41.1,Cetus,0.76 0.53,56,,23.25,SABc,,
IC 43,G,00:42:22.06 +29:38:29.9,Andromeda,1.26 1.15,87,13.25,23.13,SABc,,
IC 44,Dup,00:42:15.88 +00:50:43.8,Cetus, ,,,,,,
IC 45,Other,00:42:36.34 +29:39:18.9,Andromeda, ,,,,,,
IC 46,G,00:42:57.97 +27:15:12.5,Andromeda,0.80 0.61,82,,22.83,E-S0,,
IC 47,G,00:42:55.01 -13:44:26.6,Cetus,0.41 0.24,100,,,,,
IC 48,G,00:43:34.47 -08:11:11.4,Cetus,1.12 0.92,172,13.16,23.01,S0,,
IC 49,G,00:43:56.13 +01:51:01.0,Cetus,1.28 1.04,77,13.78,23.39,SABc,,
IC 50,G,00:46:05.71 -09:30:10.8,Cetus,1.02 0.87,169,,23.71,E,,
IC 51,G,00:46:24.22 -13:26:32.5,Cetus,1.70 1.11,55,,23.63,S0,,
IC 52,G,00:48:23.78 +04:05:30.7,Pisces,0.95 0.41,96,,23.41,Sb,,
IC 53,G,00:50:40.77 +10:36:01.0,Pisces,0.87 0.62,94,,23.75,E-S0,,
IC 54,**,00:50:46.85 -02:17:16.0,Cetus, ,,,,,,
IC 55,G,00:51:42.39 +07:43:06.7,Pisces,0.55 0.28,175,,22.14,Sa,,
IC 56,G,00:51:29.94 -12:50:39.5,Cetus,0.82 0.74,116,,23.23,SABc,,
IC 57,G,00:54:48.50 +11:50:28.3,Pisces,1.03 0.96,10,,24.3,S0,,
IC 58,G,00:55:02.44 -13:40:41.1,Cetus,0.84 0.50,105,,23.74,E-S0,,
IC 59,RfN,00:57:28.61 +61:08:37.2,Cassiopeia,10.00 5.00,,,,,,
IC 60,G,00:56:04.23 -13:21:28.5,Cetus,1.04 0.76,48,,24.14,Sc,,
IC 61,G,00:57:07.20 +07:30:25.5,Pisces,1.34 1.29,175,,24.61,S0,,
IC 62,G,00:58:43.94 +11:48:28.8,Pisces,0.76 0.46,25,,22.85,Sbc,,
IC 63,HII,00:59:28.84 +60:54:42.1,Cassiopeia,10.00 3.00,,,,,,
IC 64,G,00:59:24.42 +27:03:32.6,Pisces,1.03 0.65,148,13.96,23.88,S0,,
IC 65,G,01:00:55.42 +47:40:55.1,Andromeda,2.56 0.73,154,,23.45,Sbc,,
IC 66,G,01:00:32.50 +30:47:50.0,Pisces,1.23 0.42,124,14.1,23.66,Sa,,
IC 67,NonEx,01:00:17.66 -06:54:38.7,Cetus, ,,,,,,
IC 68,NonEx,01:00:21.65 -06:56:38.8,Cetus, ,,,,,,
IC 69,G,01:01:23.66 +31:02:27.0,Pisces,0.76 0.41,71,,23.04,SABb,,
IC 70,G,01:01:03.95 +00:03:02.7,Cetus,0.42 0.24,147,,23.65,S0-a,,
IC 71,*,01:01:19.26 -06:46:01.8,Cetus, ,,,,,,
IC 72,*,01:01:34.71 -06:46:40.6,Cetus, ,,,,,,
IC 73,G,01:04:52.95 +04:46:01.7,Pisces,0.62 0.48,149,,23.23,,,
IC 74,G,01:05:55.95 +04:05:24.9,Pisces,0.57 0.46,5,,23.1,E-S0,,
IC 75,G,01:07:11.61 +10:50:12.8,Pisces,0.66 0.51,31,,22.8,Sb,,
IC 76,G,01:08:11.71 -04:33:16.2,Cetus,0.81 0.36,116,,23.52,S0-a,,
IC 77,G,01:08:43.75 -15:25:15.3,Cetus,0.52 0.44,90,15.04,23.56,S0,,
IC 78,G,01:08:47.70 -15:50:42.3,Cetus,1.75 0.75,126,,24.55,Sa,,
IC 79,G,01:08:49.71 -15:56:54.9,Cetus,1.24 0.91,158,,24.12,E-S0,,
IC 80,GPair,01:08:50.90 -15:24:27.0,Cetus,1.2,,,,,,
IC 80NED01,G,01:08:50.70 -15:24:32.2,Cetus,1.50 1.03,83,,24.48,E,,
IC 80NED02,G,01:08:51.13 -15:24:22.7,Cetus,1.50 1.06,50,12.9,23.66,E,,
IC 81,G,01:09:22.26 -01:41:45.1,Cetus,1.17 0.91,145,,23.57,E?,,
IC 82,G,01:09:05.79 -16:00:01.1,Cetus,0.91 0.83,93,,23.32,S0,,
IC 83,G,01:10:29.78 +01:41:21.7,Cetus,0.68 0.45,114,,23.2,,,
IC 84,G,01:11:25.60 +01:38:24.7,Cetus,0.67 0.43,12,,23.13,S0-a,,
IC 85,*,01:11:49.55 -00:27:08.9,Cetus, ,,,,,,
IC 86,G,01:13:28.52 -16:14:30.0,Cetus,0.72 0.34,142,,23.29,S0-a,,
IC 87,G,01:14:15.79 +00:45:55.2,Cetus,0.69 0.63,66,,23.21,Sbc,,
IC 88,G,01:14:31.30 +00:47:30.3,Cetus,0.53 0.44,129,18.07,23.15,Sbc,,
IC 89,Dup,01:16:03.61 +04:17:38.8,Pisces, ,,,,,,
IC 90,G,01:16:30.35 -07:58:37.7,Cetus,1.25 1.12,146,,24.14,E,,
IC 91,G,01:18:39.43 +02:33:13.2,Cetus,0.71 0.26,64,,24.3,,,
IC 92,Dup,01:19:48.50 +32:46:04.0,Pisces, ,,,,,,
IC 93,G,01:19:02.34 -17:03:37.4,Cetus,1.21 0.56,171,13.57,22.91,Sb,,
IC 94,*,01:20:05.49 +32:43:02.4,Pisces, ,,,,,,
IC 95,G,01:19:17.88 -12:34:26.9,Cetus,0.61 0.50,54,,23.72,,,
IC 96,G,01:20:33.22 +29:37:02.1,Pisces,0.78 0.30,44,,22.48,Sbc,,
IC 97,Dup,01:20:02.00 +14:51:39.8,Pisces, ,,,,,,
IC 98,G,01:20:54.88 -12:36:17.0,Cetus,0.68 0.61,55,,23.87,,,
IC 99,G,01:22:27.36 -12:57:09.2,Cetus,0.58 0.52,54,,23.1,Sc,,
IC 100,G,01:22:53.96 -04:38:34.9,Cetus,1.04 0.77,88,,23.36,E-S0,,
IC 101,G,01:24:08.55 +09:55:49.9,Pisces,1.24 0.59,124,,23.76,Sb,,
IC 102,G,01:24:26.33 +09:53:11.6,Pisces,0.75 0.37,111,,23.59,S0-a,,
IC 103,G,01:24:36.44 +02:02:39.3,Cetus,0.95 0.67,128,,23.94,E-S0,,
IC 104,**,01:24:33.60 -01:27:24.2,Cetus, ,,,,,,
IC 105,G,01:24:46.25 +02:04:31.0,Cetus,0.58 0.29,47,,23.28,S0-a,,
IC 106,Dup,01:24:41.65 -01:35:13.5,Cetus, ,,,,,,
IC 107,G,01:25:24.66 +14:51:52.6,Pisces,1.62 1.31,6,,24.13,E,,
IC 108,G,01:24:38.96 -12:38:08.1,Cetus,1.30 0.36,4,,23.66,Sc,,
IC 109,G,01:25:13.09 +02:03:58.4,Cetus,0.76 0.57,70,,23.06,S0,,
IC 110,Other,01:25:46.60 +33:30:52.9,Pisces, ,,,,,,
IC 111,Other,01:26:00.13 +33:29:49.6,Pisces, ,,,,,,
IC 112,G,01:26:03.02 +11:26:34.7,Pisces,0.72 0.37,127,,21.61,Sd,,
IC 113,G,01:26:25.50 +19:11:31.1,Pisces,0.35 0.26,160,,,,,
IC 114,G,01:26:22.58 +09:54:35.8,Pisces,1.40 0.56,154,,24.91,S0,,
IC 115,G,01:26:54.44 +19:12:52.9,Pisces,0.76 0.76,80,14.03,23.46,E,,
IC 116,G,01:26:50.57 -04:58:56.2,Cetus,0.87 0.56,125,,22.72,Sbc,,
IC 117,Dup,01:27:25.42 -01:54:46.7,Cetus, ,,,,,,
IC 118,G,01:27:36.04 -04:59:50.9,Cetus,0.72 0.55,31,,23.9,E,,
IC 119,G,01:27:55.02 -02:02:25.7,Cetus,1.19 0.58,77,,24.04,S0-a,,
IC 120,G,01:28:12.96 -01:54:55.9,Cetus,0.92 0.33,138,,23.73,S0,,
IC 121,G,01:28:21.78 +02:30:46.9,Cetus,1.00 0.62,108,,22.64,Sbc,,
IC 122,G,01:28:13.20 -14:50:20.0,Cetus,0.65 0.32,14,,23.64,S0-a,,
IC 123,G,01:28:51.46 +02:26:47.2,Cetus,0.67 0.47,44,15.16,23.24,E,,
IC 124,*,01:29:09.08 -01:56:13.3,Cetus, ,,,,,,
IC 125,G,01:29:18.35 -13:16:47.4,Cetus,0.61 0.59,53,,23.5,,,
IC 126,G,01:29:47.86 -01:59:01.5,Cetus,0.89 0.81,30,,24.03,,,
IC 127,G,01:29:47.61 -06:58:48.2,Cetus,1.69 0.45,110,9.2,23.47,Sb,,
IC 128,G,01:31:23.87 -12:37:27.8,Cetus,0.82 0.61,165,,23.31,SBc,,
IC 129,G,01:31:31.26 -12:39:15.8,Cetus,1.23 0.60,63,,24.28,S0-a,,
IC 130,G,01:31:28.74 -15:35:29.8,Cetus,0.75 0.64,27,,23.52,S0,,
IC 131,HII,01:33:14.58 +30:45:11.7,Triangulum,0.3,,,,,,
IC 132,HII,01:33:15.92 +30:56:44.2,Triangulum,0.67 0.55,,14.82,,,,
IC 133,HII,01:33:15.18 +30:53:18.2,Triangulum,0.45 0.45,,18.45,,,,
IC 134,*,01:33:25.00 +30:54:02.4,Triangulum, ,,15.98,,,,
IC 135,HII,01:34:15.53 +30:37:12.3,Triangulum,0.4,,,,,,
IC 136,*Ass,01:34:16.04 +30:33:43.4,Triangulum, ,,,,,,
IC 137,*Ass,01:33:38.91 +30:31:21.0,Triangulum, ,,,,,,
IC 138,G,01:33:01.98 -00:41:23.4,Cetus,1.12 0.74,23,,23.37,SABc,,
IC 139,*Ass,01:33:59.24 +30:34:02.8,Triangulum, ,,,,,,
IC 140,*Ass,01:33:58.17 +30:33:00.5,Triangulum, ,,,,,,
IC 141,G,01:32:51.71 -14:48:52.6,Cetus,1.23 0.91,5,,23.33,Sbc,,
IC 142,HII,01:33:55.53 +30:45:28.1,Triangulum,0.5,,14.2,,,,
IC 143,HII,01:34:10.93 +30:46:35.1,Triangulum,0.3,,,,,,
IC 144,G,01:37:40.85 -13:18:52.8,Cetus,0.74 0.67,46,,24.01,E,,
IC 145,G,01:38:38.48 +00:44:29.4,Cetus,0.69 0.50,6,,23.17,Sb,,
IC 146,Dup,01:38:39.79 -17:49:52.3,Cetus, ,,,,,,
IC 147,G,01:39:59.75 -14:51:45.5,Cetus,0.76 0.42,58,,22.97,Sc,,
IC 148,G,01:42:26.97 +13:58:37.3,Pisces,1.82 0.57,45,,23.07,I,,
IC 149,G,01:42:25.38 -16:18:01.5,Cetus,1.27 0.41,82,,22.82,Sbc,,
IC 150,G,01:42:57.52 +04:12:00.6,Pisces,0.88 0.50,137,,22.99,Sb,,
IC 151,Other,01:43:57.47 +13:12:09.4,Pisces, ,,,,,,
IC 152,Other,01:44:07.39 +13:02:09.1,Pisces, ,,,,,,
IC 153,Other,01:44:36.21 +12:37:44.2,Pisces, ,,,,,,
IC 154,G,01:45:16.27 +10:38:57.1,Pisces,1.19 0.23,66,,22.86,Sb,,
IC 155,Other,01:47:32.33 +60:36:39.0,Cassiopeia, ,,,,,,
IC 156,G,01:45:29.21 +10:33:09.8,Pisces,1.51 1.33,105,,24.5,Sa,,
IC 157,Other,01:45:42.40 +12:52:24.0,Pisces, ,,,,,,
IC 158,G,01:45:53.52 -06:56:08.5,Cetus,0.70 0.53,140,,23.74,,,
IC 159,G,01:46:25.05 -08:38:11.8,Cetus,1.35 0.75,28,,23.12,SBb,,
IC 160,G,01:46:29.56 -13:14:51.8,Cetus,1.28 0.86,85,,24.16,E-S0,,
IC 161,G,01:48:43.74 +10:30:28.4,Pisces,0.90 0.54,67,,22.95,S0-a,,
IC 162,G,01:48:53.43 +10:31:17.8,Pisces,1.32 1.28,85,,23.77,S0,,
IC 163,G,01:49:14.99 +20:42:40.7,Aries,1.62 0.73,90,13.26,23.05,SBd,,
IC 164,G,01:49:08.41 -03:54:15.8,Cetus,1.58 1.35,167,,23.9,E,,
IC 165,Dup,01:50:14.02 +27:38:44.4,Triangulum, ,,,,,,
IC 166,OCl,01:52:23.82 +61:51:09.4,Cassiopeia,7.5,,11.7,,,,
IC 167,G,01:51:08.56 +21:54:46.1,Aries,1.60 0.94,107,13.26,22.95,Sc,,
IC 168,G,01:50:27.63 -08:31:22.6,Cetus,1.12 0.39,104,,23.46,S0-a,,
IC 169,G,01:50:39.36 -12:40:46.6,Cetus,0.74 0.51,76,,23.77,E-S0,,
IC 170,G,01:51:57.52 -08:31:03.4,Cetus,0.78 0.60,92,,23.59,E,,
IC 171,G,01:55:10.21 +35:16:54.8,Triangulum,2.26 1.90,107,,24.18,S0-a,,
IC 172,G,01:54:54.23 +00:48:40.4,Cetus,0.48 0.37,95,,22.24,SBbc,,
IC 173,G,01:55:57.15 +01:17:06.6,Cetus,0.92 0.72,90,14.09,23.35,SBbc,,
IC 174,G,01:56:16.08 +03:45:42.7,Pisces,1.49 0.99,97,,24.1,S0,,
IC 175,G,01:56:18.86 +01:19:56.7,Cetus,0.52 0.46,9,,23.14,,,
IC 176,G,01:56:53.40 -02:01:08.3,Cetus,1.78 0.38,94,,23.57,Sc,,
IC 177,G,01:57:00.58 -00:05:23.5,Cetus,0.51 0.47,11,,22.79,Sbc,,
IC 178,G,01:58:54.87 +36:40:28.9,Andromeda,0.94 0.79,159,13.28,22.55,Sab,,
IC 179,G,02:00:11.50 +38:01:16.8,Andromeda,1.12 0.90,111,12.56,22.67,E,,
IC 180,G,02:00:00.41 +23:36:15.6,Aries,0.83 0.34,150,,23.04,Sb,,
IC 181,G,02:00:02.33 +23:39:31.1,Aries,0.57 0.49,55,,23.43,,,
IC 182,G,01:59:51.81 +07:24:42.6,Pisces,1.06 0.70,36,,23.26,Sb,,
IC 183,G,01:59:34.05 -05:20:49.7,Cetus,1.19 0.37,98,,23.88,S0,,
IC 184,G,01:59:51.23 -06:50:25.4,Cetus,1.12 0.59,178,13.89,23.35,SBa,,
IC 185,G,02:00:06.04 -01:31:42.0,Cetus,0.79 0.33,82,,23.46,Sab,,
IC 186,GTrpl,02:00:24.50 -01:33:06.2,Cetus,1.1,,,,,,
IC 186A,G,02:00:24.00 -01:33:10.3,Cetus,1.21 0.76,33,,23.56,S0,,
IC 186B,G,02:00:25.45 -01:32:59.3,Cetus,0.69 0.47,0,,23.74,,,
IC 186NED03,G,02:00:25.40 -01:33:03.0,Cetus,0.25 0.20,101,,,,,
IC 187,G,02:01:30.76 +26:28:51.5,Triangulum,2.23 0.73,70,,23.83,Sa,,
IC 188,G,02:01:46.50 +26:32:48.8,Triangulum,0.54 0.28,46,,21.27,SABc,,
IC 189,G,02:01:52.91 +23:33:05.4,Aries,0.78 0.67,86,,23.18,SBc,,
IC 190,G,02:02:07.28 +23:32:59.4,Aries,0.25 0.20,95,,,E,,
IC 191,Dup,02:02:29.33 +18:22:22.8,Aries, ,,,,,,
IC 192,G,02:02:32.39 +16:00:51.0,Aries,0.95 0.67,148,,23.51,S0,,
IC 193,G,02:02:30.98 +11:05:35.1,Aries,1.36 0.97,154,,23.58,Sc,,
IC 194,G,02:03:05.22 +02:36:51.3,Pisces,1.85 0.33,14,,24,Sb,,
IC 195,G,02:03:44.61 +14:42:33.4,Aries,1.46 0.72,135,13.15,23.63,S0,,
IC 196,G,02:03:49.80 +14:44:20.9,Aries,2.47 0.67,9,,24.13,Sab,,
IC 197,G,02:04:04.93 +02:47:12.6,Pisces,1.01 0.53,54,,22.69,Sbc,,
IC 198,G,02:06:03.12 +09:17:44.0,Pisces,1.01 0.56,51,,23.21,Sbc,,
IC 199,G,02:06:19.40 +09:13:38.7,Pisces,1.28 0.56,24,,24.07,Sab,,
IC 200,G,02:05:26.64 +31:10:31.2,Triangulum,1.38 1.06,92,12.82,23.24,Sb,,
IC 201,G,02:07:15.29 +09:06:54.2,Cetus,0.54 0.50,60,,23.89,,,
IC 202,G,02:07:28.66 +09:10:05.9,Cetus,1.35 0.36,131,,23.81,Sb,,
IC 203,G,02:07:29.65 +09:07:21.5,Cetus,0.60 0.51,10,,24.52,,,
IC 204,G,02:07:27.08 -01:25:48.7,Cetus,0.55 0.36,155,,23.02,Sab,,
IC 205,G,02:07:27.43 -02:05:28.6,Cetus,0.92 0.82,40,,23.21,Sa,,
IC 206,G,02:09:30.68 -06:58:06.2,Cetus,1.22 0.39,130,,23.42,S0,,
IC 207,G,02:09:39.35 -06:55:19.9,Cetus,1.81 0.45,98,,24.43,S0-a,,
IC 208,G,02:08:27.74 +06:23:41.7,Cetus,1.32 1.13,168,,23.93,Sbc,,
IC 209,G,02:08:58.71 -07:03:32.1,Cetus,1.51 1.03,82,,23.09,SBbc,,
IC 210,G,02:09:28.28 -09:40:49.2,Cetus,2.35 0.65,66,,23.44,SBbc,,
IC 211,G,02:11:08.00 +03:51:09.0,Cetus,1.66 0.76,56,,23.29,SABc,,
IC 212,G,02:13:38.26 +16:35:38.2,Aries,0.79 0.54,84,,23.67,Sbc,,
IC 213,G,02:14:04.28 +16:27:21.2,Aries,1.43 1.01,148,13.2,24.46,SABb,,
IC 214,G,02:14:05.59 +05:10:23.7,Cetus,0.58 0.45,65,14.16,22.07,Sbc,,
IC 215,G,02:14:09.46 -06:48:22.8,Cetus,0.84 0.19,78,,23.01,Sb,,
IC 216,G,02:15:55.52 -02:00:54.4,Cetus,0.50 0.32,25,,23.14,S0-a,,
IC 217,G,02:16:10.44 -11:55:36.2,Cetus,2.00 0.45,35,,23.76,Sc,,
IC 218,G,02:17:07.25 +01:16:56.4,Cetus,0.91 0.30,75,,23.3,Sbc,,
IC 219,G,02:18:38.83 -06:54:12.0,Cetus,1.56 1.19,177,,24.27,E,,
IC 220,G,02:19:11.73 -12:46:53.9,Cetus,0.67 0.32,34,,22.94,Sb,,
IC 221,G,02:22:40.90 +28:15:25.1,Triangulum,1.54 1.19,16,,23.28,Sc,,
IC 222,G,02:22:47.85 +11:38:18.0,Aries,0.84 0.65,42,,23.36,SABa,,
IC 223,G,02:22:01.10 -20:44:45.3,Cetus,1.15 0.59,143,,22.54,IB,,
IC 224,G,02:24:45.14 -12:33:52.1,Cetus,0.86 0.59,130,,23.16,Sab,,
IC 225,G,02:26:28.29 +01:09:37.9,Cetus,1.01 0.90,158,,23.45,E,,
IC 226,G,02:27:45.93 +28:12:31.8,Triangulum,0.81 0.72,55,,23.92,E,,
IC 227,G,02:28:03.61 +28:10:31.2,Triangulum,2.01 1.77,80,,25.78,E,,
IC 228,Dup,02:26:41.53 -14:30:56.3,Cetus, ,,,,,,
IC 229,Other,02:27:22.09 -23:48:46.8,Cetus, ,,,,,,
IC 230,G,02:28:47.29 -10:49:52.9,Cetus,0.64 0.42,87,,23.42,S0-a,,
IC 231,G,02:29:56.39 +01:10:44.7,Cetus,0.74 0.33,162,,23.31,S0,,
IC 232,G,02:31:11.62 +01:15:56.3,Cetus,1.10 0.67,154,,23.42,E,,
IC 233,G,02:31:40.70 +02:48:35.7,Cetus,0.33 0.26,100,,21.68,Sbc,,
IC 234,G,02:31:37.72 -00:08:24.9,Cetus,0.69 0.35,158,,22.81,SBc,,
IC 235,G,02:32:50.79 +20:38:28.5,Aries,0.39 0.30,35,14.35,21.56,,,
IC 236,G,02:32:55.81 -00:07:52.5,Cetus,0.74 0.37,23,,23.88,S0-a,,
IC 237,G,02:33:31.57 +01:08:23.6,Cetus,0.54 0.51,11,,22.32,SBb,,
IC 238,G,02:35:22.68 +12:50:15.8,Aries,1.38 0.79,35,,23.54,S0,,
IC 239,G,02:36:27.88 +38:58:11.7,Andromeda,4.25 4.01,75,11.2,23.72,SABc,,
IC 240,Other,02:38:58.57 +41:43:09.9,Perseus, ,,,,,,
IC 241,G,02:37:54.50 +02:19:40.9,Cetus,0.90 0.59,152,,23.12,E-S0,,
IC 242,**,02:38:23.93 -06:56:02.2,Cetus, ,,,,,,
IC 243,G,02:38:32.16 -06:54:07.7,Cetus,1.22 0.70,20,,24.22,Sa,,
IC 244,G,02:39:24.73 +02:43:43.7,Cetus,0.70 0.47,176,,22.95,SABc,,
IC 245,G,02:38:54.64 -14:18:20.0,Cetus,1.11 0.29,25,,22.95,Sbc,,
IC 246,G,02:40:28.60 +02:28:43.1,Cetus,0.69 0.61,48,,23.4,S0,,
IC 247,G,02:40:08.78 -11:44:01.6,Cetus,0.88 0.64,45,,22.96,SBbc,,
IC 248,G,02:41:25.83 +17:48:44.0,Aries,0.99 0.74,147,,22.92,Sa,,
IC 249,Dup,02:41:02.49 -06:56:09.3,Cetus, ,,,,,,
IC 250,G,02:40:54.27 -13:18:48.8,Cetus,0.91 0.73,178,,23.42,SABb,,
IC 251,G,02:41:13.85 -14:57:28.2,Cetus,0.84 0.74,96,,23.41,E,,
IC 252,G,02:41:45.13 -14:50:53.7,Cetus,1.01 0.62,26,,23.86,S0-a,,
IC 253,G,02:42:05.75 -15:02:48.6,Cetus,0.95 0.74,162,,23.46,S0,,
IC 254,G,02:42:04.98 -15:06:23.9,Cetus,0.26 0.25,55,,,,,
IC 255,G,02:47:03.21 +16:17:16.9,Aries,0.59 0.40,45,,23.19,SABb,,
IC 256,G,02:49:40.30 +46:57:16.8,Perseus,0.46 0.29,30,,,E,,
IC 257,G,02:49:45.44 +46:58:34.3,Perseus,1.93 1.19,154,12.68,24.12,E,,
IC 258,G,02:49:46.10 +41:03:06.0,Perseus,1.48 1.23,170,,25.1,S0-a,,
IC 259,G,02:49:40.88 +41:03:18.4,Perseus,0.69 0.53,130,,23.3,S0,,
IC 260,G,02:51:00.88 +46:57:17.2,Perseus,1.53 0.75,170,,24.64,E,,
IC 261,Dup,02:49:04.09 -14:28:14.5,Eridanus, ,,,,,,
IC 262,G,02:51:43.27 +42:49:41.8,Perseus,2.10 1.74,36,,25.05,S0,,
IC 263,G,02:49:39.96 -00:04:11.5,Cetus,0.65 0.44,168,,22.65,S0-a,,
IC 264,G,02:48:47.62 -00:06:33.1,Cetus,0.50 0.37,28,16.88,23.25,E,,
IC 265,G,02:54:43.98 +41:39:19.2,Perseus,0.71 0.63,60,,23.64,E,,
IC 266,G,02:55:04.83 +42:15:44.4,Perseus,0.74 0.31,136,,24.09,S0-a,,
IC 267,G,02:53:50.25 +12:50:57.2,Aries,1.86 0.69,170,13.09,23.27,Sb,,
IC 268,G,02:55:26.95 -14:06:10.8,Eridanus,0.97 0.55,68,,23.63,SABa,,
IC 269,G,02:55:26.49 -14:04:00.5,Eridanus,1.19 0.35,126,,24.2,S0-a,,
IC 270,G,02:55:44.19 -14:12:28.4,Eridanus,1.80 1.43,51,,24,E-S0,,
IC 271,G,02:55:59.45 -12:00:28.3,Eridanus,1.06 0.61,131,,23.56,S0-a,,
IC 272,G,02:56:06.44 -14:11:11.9,Eridanus,0.96 0.67,30,,23.22,Sbc,,
IC 273,G,02:57:10.78 +02:46:30.2,Cetus,1.49 0.46,32,,23.62,Sa,,
IC 274,Other,03:00:05.23 +44:12:47.4,Perseus, ,,,,,,
IC 275,GTrpl,03:00:57.30 +44:20:54.0,Perseus,1,,,,,,
IC 275NED01,G,03:00:55.87 +44:20:46.7,Perseus,0.32 0.23,16,,,,,
IC 275NED02,G,03:00:55.90 +44:21:01.3,Perseus,1.38 1.20,25,,24.01,E,,
IC 275NED03,G,03:00:58.67 +44:21:00.6,Perseus,0.30 0.30,0,,,,,
IC 276,G,02:58:41.06 -15:42:11.2,Eridanus,1.67 0.61,62,,23.91,S0,,
IC 277,G,02:59:50.60 +02:46:16.9,Cetus,1.00 0.89,44,13.12,22.54,SBbc,,
IC 278,G,03:01:30.44 +37:45:57.6,Perseus,2.17 2.17,125,,25.25,E,,
IC 279,G,03:01:12.21 +16:12:33.2,Aries,0.54 0.45,166,,22.75,Sbc,,
IC 280,Other,03:03:03.61 +42:21:33.5,Perseus, ,,,,,,
IC 281,Dup,03:04:37.13 +42:21:46.2,Perseus, ,,,,,,
IC 282,Dup,03:06:13.24 +41:50:56.2,Perseus, ,,,,,,
IC 283,G,03:03:50.46 -00:12:16.0,Cetus,0.71 0.54,5,17.93,22.98,Sc,,
